"gene_ID" "baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj" "gene_name"
"ENSG00000000003.16" 310.048899876027 0.253939315007113 0.18214957157343 1.39412523901953 0.163279788829177 0.490661664526304 "TSPAN6"
"ENSG00000000419.14" 1318.61696774975 -0.108002235304858 0.109732345143429 -0.984233364954438 0.325000784296835 0.670306643622375 "DPM1"
"ENSG00000000457.14" 123.838745325196 0.0437884011463317 0.236858826018949 0.184871308712932 0.853329975389582 0.95938140927303 "SCYL3"
"ENSG00000000460.17" 523.399932061265 -0.28510682266096 0.160325664871551 -1.77829808402405 0.0753549108749023 0.334358485886569 "FIRRM"
"ENSG00000000971.17" 137.844701373705 -1.71190405622257 1.16660155847804 -1.46742822669972 0.142259600600875 0.46046480156755 "CFH"
"ENSG00000001036.14" 3112.63508660034 0.125349223232712 0.109535530192233 1.14437044320437 0.252470040523445 0.599253330631494 "FUCA2"
"ENSG00000001084.13" 557.76078148098 0.267265313532623 0.176168612948362 1.5170994938296 0.129241566042328 0.438928792963353 "GCLC"
"ENSG00000001167.15" 1219.14059732745 -0.0878925157113974 0.100519965350287 -0.874378690891043 0.381912058089706 0.718569017535383 "NFYA"
"ENSG00000001460.18" 91.2776376420487 0.21776038142926 0.340976339899938 0.638637805465222 0.52305858133639 0.816471906102456 "STPG1"
"ENSG00000001461.17" 159.606471250388 0.618567980308813 0.256807203250202 2.40868625365681 0.0160100547460113 0.136558105241926 "NIPAL3"
"ENSG00000001497.18" 1548.67595407352 -0.124932845093848 0.104249696044223 -1.1984000897312 0.230761297559357 0.577703036793982 "LAS1L"
"ENSG00000001561.7" 380.01417822088 0.425946012176986 0.188367410655984 2.26125108740223 0.0237437132072476 0.175857701833772 "ENPP4"
"ENSG00000001617.12" 2323.58610105029 -0.37234526092977 0.179297227180541 -2.0766928010261 0.0378299214650069 0.226517383152598 "SEMA3F"
"ENSG00000001629.10" 1331.88563219638 0.103719017074267 0.140130759609395 0.740158815690264 0.459203634035365 0.778891234028347 "ANKIB1"
"ENSG00000001630.18" 1861.7022513599 -1.15209207656516 0.146482187900138 -7.86506600618623 3.68902881652892e-15 1.58213223368884e-12 "CYP51A1"
"ENSG00000001631.17" 768.282229697421 0.0776442308646494 0.142849509854207 0.543538657877747 0.586758981794897 0.851027680597485 "KRIT1"
"ENSG00000002016.18" 102.338321465275 0.19510851393549 0.269854468420734 0.723013834372731 0.469671384803794 0.785534432020324 "RAD52"
"ENSG00000002330.14" 928.31627570875 -0.0199064474744534 0.146722093359712 -0.135674505581444 0.892078602928313 0.971018511550129 "BAD"
"ENSG00000002549.13" 1501.31932458779 -0.32665761047364 0.121600311434866 -2.68632215344786 0.00722433964278506 0.0810023180209005 "LAP3"
"ENSG00000002586.20" 897.556356024729 0.115145625254998 0.139603334886397 0.824805692132626 0.40948191454552 0.741584823861536 "CD99"
"ENSG00000002587.10" 103.542332329661 -0.365496140367149 0.46353261876838 -0.788501446431717 0.430403452851646 0.7580668617731 "HS3ST1"
"ENSG00000002746.15" 228.287703515088 0.608604855242153 0.185467275124513 3.28146760571949 0.00103268385926603 0.0201705383803967 "HECW1"
"ENSG00000002822.16" 1057.48163233037 -0.0183868320160862 0.105603287879295 -0.174112306399991 0.861777201813905 0.961720785399678 "MAD1L1"
"ENSG00000002834.19" 5724.13711745124 -0.114586311812293 0.0939359537483216 -1.2198344429365 0.222527641651292 0.568074656626177 "LASP1"
"ENSG00000002919.15" 228.673216085359 -0.386895667648059 0.177810716130315 -2.1758849863948 0.0295638617107552 0.200092947011395 "SNX11"
"ENSG00000003056.8" 2425.20203797522 -0.265453668048908 0.0917637211924339 -2.89279537271855 0.00381829970559566 0.0524573065834448 "M6PR"
"ENSG00000003249.15" 670.518142212538 0.267755163813401 0.130249836675878 2.05570441120553 0.0398110164786303 0.234996296839881 "DBNDD1"
"ENSG00000003393.16" 752.934169958328 -0.0960292857185759 0.117143069048483 -0.819760712252055 0.412352531970858 0.744138205893093 "ALS2"
"ENSG00000003402.21" 865.645265027789 0.370050130310607 0.175589861688126 2.10746865879917 0.0350769756192878 0.218518571674583 "CFLAR"
"ENSG00000003436.16" 1287.02467096558 0.228421003224827 0.150437303033125 1.51838007342189 0.128918612083116 0.438591728366061 "TFPI"
"ENSG00000003509.16" 227.169697465612 0.0208879764747732 0.20969736496634 0.0996101046769285 0.92065387135607 0.979322429505669 "NDUFAF7"
"ENSG00000003756.17" 1524.56973329695 -0.0139331753406724 0.187178852931763 -0.0744377643224034 0.940662060556516 0.985668399539055 "RBM5"
"ENSG00000003987.14" 53.5273475194064 -0.0979495033099662 0.389621617470009 -0.251396480374978 0.801507588605572 0.940493904559538 "MTMR7"
"ENSG00000004059.11" 1782.62632409341 -0.00166106038368986 0.104210956960417 -0.0159394024595782 0.98728273537238 0.996817831980559 "ARF5"
"ENSG00000004139.14" 456.424842978848 0.144297402640381 0.130117600322347 1.1089768200682 0.267440181812262 0.615623793222321 "SARM1"
"ENSG00000004142.12" 2279.33579040229 -0.146457745437173 0.109093429921531 -1.34249831124126 0.179434477572193 0.515657196267669 "POLDIP2"
"ENSG00000004399.13" 55.2691900056252 -1.00002108775309 0.565171145806799 -1.76941284984662 0.0768250027771007 0.337532068928714 "PLXND1"
"ENSG00000004455.18" 4998.80131874946 -0.115196869072419 0.088389735283634 -1.30328333604308 0.192478048048752 0.53331592961417 "AK2"
"ENSG00000004468.13" 20.3280877276016 1.97802455603307 0.711557136029259 2.77985344517961 0.00543834358179491 0.0661016510732837 "CD38"
